hidden_layers,weight_init,loss_function,accuracy,precision,recall,f1
3,he,label_smoothing,1.0,1.0,1.0,1.0
2,he,label_smoothing,0.9989680082559339,0.998979104941354,0.9989680082559339,0.9989680958737416
3,xavier,label_smoothing,0.9989680082559339,0.998977931253473,0.9989680082559339,0.9989677708527263
2,he,cross_entropy,0.9979360165118679,0.9979745956424871,0.9979360165118679,0.9979356347169202
2,xavier,label_smoothing,0.9969040247678018,0.9969347802219314,0.9969040247678018,0.9969037224607878
2,xavier,cross_entropy,0.9917440660474717,0.9921057398140289,0.9917440660474717,0.9916897422397104
3,xavier,cross_entropy,0.9917440660474717,0.9920095712179211,0.9917440660474717,0.9917426155162707
3,he,cross_entropy,0.9442724458204335,0.9610639327617048,0.9442724458204335,0.9452010275890603
